X,Y,osm_id,barrier,toll,charge,lines,toll:operator,fee,maxheight,maxwidth,fee:M
20.9176166,41.8199527,315962737,toll_booth,yes,30MKD,,,,,,
20.9175053,41.8199748,420915841,toll_booth,yes,30MKD,,,,,,
20.9566373,41.9763541,420895047,toll_booth,yes,30MKD,,,,,,
20.9568763,41.9763431,420895051,toll_booth,yes,30MKD,,,,,,
21.0770849,41.9898788,420909830,toll_booth,yes,40MKD,,,,,,
21.0770287,41.9899866,420909918,toll_booth,yes,40MKD,,,,,,
22.4923521,41.2366471,3416952659,toll_booth,,,5,,,,,
22.4926332,41.2366459,6827088561,toll_booth,,,5,,,,,
21.7446762,41.7757402,3419089292,toll_booth,,,,,,,,
21.744762,41.7757502,3419089287,toll_booth,,,,,,,,
21.7448264,41.7757642,3419089290,toll_booth,,,,,,,,
21.7449015,41.7757762,3419089286,toll_booth,,,,,,,,
21.7675039,41.7783708,3418248138,toll_booth,,,,,,,,
21.7675563,41.7784109,3418248142,toll_booth,,,,,,,,
21.7676214,41.7784377,3418248136,toll_booth,,,,,,,,
21.7676717,41.7784841,3418251192,toll_booth,,,,,,,,
21.2926103,41.9883778,293662059,toll_booth,yes,40MKD,,,,,,
21.2926446,41.9885437,293662343,toll_booth,yes,40MKD,,,,,,
21.6195282,41.9418453,3954135050,toll_booth,,,,,,,,
21.6195728,41.9419019,3954135003,toll_booth,,,,,,,,
21.6196059,41.9419404,409886813,toll_booth,,,,Public Enterprise for State Roads,yes,4.8,3.25,"40 MKD, 1 EUR"
21.619717,41.9420657,409886811,toll_booth,,,,Public Enterprise for State Roads,yes,4.8,3.25,"40 MKD, 1 EUR"
21.6415587,41.9832851,409886806,toll_booth,,,,,,4.8,3.25,
21.6414637,41.9834503,409886809,toll_booth,,,,,,4.8,3.25,
21.6987526,42.110066,3434142506,toll_booth,,,,,,,,
21.6990922,42.1099918,3434195388,toll_booth,,,,,,,,
21.9129038,41.5932638,3417924348,toll_booth,,,6,,,,,
21.9132251,41.5933809,3417193976,toll_booth,,,6,,,,,
